city,year,weekofyear,week_start_date,total_cases,T,P,H,V,T_lag1,P_lag1,P_lag2,P_lag3,sin_season,cos_season
sj,1990,21,1990-05-21,3,26.77500000020001,9.68,79.68963396610215,0.2092857,26.22142857165,37.97,15.71,14.21,0.0,1.0
sj,1990,22,1990-05-28,6,27.728571428450017,6.66,79.96347776918151,0.239235,26.77500000020001,9.68,37.97,15.71,0.12053668025532305,0.992708874098054
sj,1990,23,1990-06-04,2,27.36428571415,24.34,79.51767555414534,0.19632932441066253,27.728571428450017,6.66,9.68,37.97,0.23931566428755774,0.970941817426052
sj,1990,24,1990-06-11,4,26.742857142650006,16.59,81.89598027702985,0.1552607,27.36428571415,24.34,6.66,9.68,0.3546048870425356,0.9350162426854148
sj,1990,25,1990-06-18,5,27.375000000200018,86.11,83.49892918669481,0.107375,26.742857142650006,16.59,24.34,6.66,0.4647231720437685,0.8854560256532099
sj,1990,26,1990-06-25,10,27.3678571428,20.21,82.74143169664528,0.12444909999999999,27.375000000200018,86.11,16.59,24.34,0.5680647467311558,0.8229838658936564
sj,1990,27,1990-07-02,6,27.728571428800016,7.755,80.93712809724161,0.1524279529315744,27.3678571428,20.21,86.11,16.59,0.6631226582407952,0.7485107481711011
sj,1990,28,1990-07-09,8,27.000000000050015,42.985,81.17048084942347,0.15502412499999998,27.728571428800016,7.755,20.21,86.11,0.7485107481711011,0.6631226582407953
sj,1990,29,1990-07-16,2,27.36428571430001,35.685,81.85241688976214,0.271316675,27.000000000050015,42.985,7.755,20.21,0.8229838658936564,0.5680647467311559
sj,1990,30,1990-07-23,6,27.300000000150007,24.54,80.50774899985294,0.19093095,27.36428571430001,35.685,42.985,7.755,0.8854560256532099,0.4647231720437686
sj,1990,31,1990-07-30,17,27.521428571450006,35.129999999999995,80.20352343713405,0.26425008578727716,27.300000000150007,24.54,35.685,42.985,0.9350162426854148,0.35460488704253557
sj,1990,32,1990-08-06,23,27.764285714500012,20.1,79.36771595294505,0.10395569933403824,27.521428571450006,35.129999999999995,24.54,35.685,0.970941817426052,0.23931566428755804
sj,1990,33,1990-08-13,13,27.424999999950018,67.725,84.115155076782,0.15298106446378024,27.764285714500012,20.1,35.129999999999995,24.54,0.992708874098054,0.120536680255323
sj,1990,34,1990-08-20,21,27.80357142845002,18.9,80.63679898595456,0.174744025,27.424999999950018,67.725,20.1,35.129999999999995,1.0,-1.6081226496766366e-16
