city,year,weekofyear,week_start_date,total_cases,T,P,H,V,T_lag1,P_lag1,P_lag2,P_lag3,sin_season,cos_season,i_h,r_h,s_h,s_h_smooth,i_h_smooth,r_h_smooth,ds_h_dt,di_h_dt,dr_h_dt
iq,2000,29,2000-07-22,0,24.422619047850013,17.8,87.2342857143,0.2069178749999999,25.521428571500017,46.81,58.105,14.205,0.0,1.0,0.0,0.1,0.9,0.8999997971464643,2.0202020202020726e-07,0.10000000083333328,3.787878787298027e-07,-3.7878787878788347e-07,0.0
iq,2000,30,2000-07-29,0,25.54285714300001,33.379999999999995,88.1614285714,0.31654645,24.422619047850013,17.8,46.81,58.105,0.120536680255323,0.992708874098054,0.0,0.1,0.9,0.900000175934343,-1.767676767676762e-07,0.10000000083333328,2.28522727241387e-07,-2.2727272727273078e-07,-1.2499999924031613e-09
iq,2000,31,2000-08-05,0,25.237857143,13.87,74.7285714286,0.22081785,25.54285714300001,33.379999999999995,17.8,46.81,0.2393156642875577,0.970941817426052,0.0,0.1,0.9,0.9000002541919188,-2.5252525252525427e-07,0.0999999983333333,-2.9273989898825903e-08,3.156565656565517e-08,-2.2916666550520937e-09
iq,2000,32,2000-08-12,0,26.422619047850013,81.135,83.2757142857,0.3525821249999999,25.237857143,13.87,33.379999999999995,17.8,0.3546048870425356,0.9350162426854148,0.0,0.1,0.9,0.9000001173863632,-1.1363636363636587e-07,0.09999999624999997,-2.0160353575437995e-07,2.020202020202028e-07,-4.1666672195850296e-10
iq,2000,33,2000-08-19,0,26.384523809650005,46.09,82.49,0.3752258249999999,26.422619047850013,81.135,13.87,33.379999999999995,0.4647231720437685,0.8854560256532099,0.0,0.1,0.9,0.8999998509848472,1.515151515151513e-07,0.09999999749999985,-2.754464289989045e-07,2.678571428571437e-07,7.589285658249345e-09
iq,2000,34,2000-08-26,0,26.660714285500017,69.21000000000001,74.74,0.3599356999999999,26.384523809650005,46.09,81.135,13.87,0.5680647467311558,0.8229838658936564,0.0,0.1,0.9,0.8999995664935052,4.220779220779215e-07,0.10000001142857129,-2.3305735935563732e-07,2.1645021645021612e-07,1.6607142855340484e-08
iq,2000,35,2000-09-02,0,27.447619047850004,65.825,74.1514285714,0.32299285,26.660714285500017,69.21000000000001,46.09,81.135,0.6631226582407952,0.7485107481711011,0.0,0.1,0.9,0.8999993848701285,5.844155844155835e-07,0.10000003071428556,-1.2840367968891542e-07,1.0822510822510808e-07,2.0178571424889213e-08
iq,2000,36,2000-09-09,1,28.57619047635001,40.01,57.7871428571,0.292352975,27.447619047850004,65.825,69.21000000000001,46.09,0.7485107481711011,0.6631226582407953,2.5e-06,0.1000000825,0.8999974175,0.8999993096861458,6.385281385281377e-07,0.10000005178571414,9.720779226007892e-08,-1.1363636363636346e-07,1.6428571433801942e-08
iq,2000,37,2000-09-16,0,27.823214285500026,26.76,71.66,0.32761365,28.57619047635001,40.01,65.825,69.21000000000001,0.8229838658936564,0.5680647467311559,0.0,0.1000000825,0.8999999175,0.8999995792857131,3.5714285714285663e-07,0.10000006357142843,1.3449675329013644e-07,-1.4610389610389586e-07,1.1607142857972264e-08
iq,2000,38,2000-09-23,0,26.44880952365,100.875,77.4871428571,0.322986325,27.823214285500026,26.76,40.01,65.825,0.8854560256532099,0.4647231720437686,0.0,0.1000000825,0.8999999175,0.8999995786796524,3.4632034632034593e-07,0.10000007499999986,-2.016612554722741e-07,1.8398268398268371e-07,1.7678571426205103e-08
iq,2000,39,2000-09-30,0,27.44285714300001,76.895,71.4628571429,0.1709172574999999,26.44880952365,100.875,26.76,40.01,0.9350162426854148,0.3546048870425355,0.0,0.1000000825,0.8999999175,0.8999991759632021,7.251082251082241e-07,0.10000009892857128,-2.4127164510723276e-07,2.1645021645021612e-07,2.482142857918035e-08
iq,2000,40,2000-10-07,0,27.025000000000013,54.61,82.3714285714,0.286758225,27.44285714300001,76.895,100.875,26.76,0.970941817426052,0.239315664287558,0.0,0.1000000825,0.8999999175,0.8999990961363622,7.792207792207782e-07,0.10000012464285701,-2.8195346318815595e-07,2.489177489177485e-07,3.3035714289142426e-08
iq,2000,41,2000-10-14,1,27.39642857155,17.05,81.5228571429,0.202041075,27.025000000000013,54.61,76.895,100.875,0.992708874098054,0.120536680255323,2.5e-06,0.100000165,0.899997335,0.8999986120562757,1.222943722943721e-06,0.10000016499999986,-2.622186146550298e-07,2.2186147186147146e-07,4.035714284977843e-08
iq,2000,42,2000-10-21,1,27.8875,35.205,75.54,0.27881785,27.39642857155,17.05,54.61,76.895,1.0,-1.6081226496766366e-16,2.5e-06,0.1000002475,0.8999972525,0.8999985716991329,1.222943722943721e-06,0.10000020535714271,7.143939395604093e-08,-1.08225108225108e-07,3.67857142802297e-08
iq,2000,43,2000-10-28,0,27.975000000000023,53.575,76.9414285714,0.3635075,27.8875,35.205,17.05,54.61,0.992708874098054,-0.1205366802553228,0.0,0.1000002475,0.8999997525,0.8999987549350636,1.006493506493505e-06,0.10000023857142842,2.986038961094728e-07,-3.246753246753241e-07,2.607142857158351e-08
iq,2000,44,2000-11-04,0,27.63571428550002,37.37,79.4285714286,0.272659175,27.975000000000023,53.575,35.205,17.05,0.970941817426052,-0.2393156642875575,0.0,0.1000002475,0.8999997525,0.8999991689069251,5.735930735930728e-07,0.10000025749999986,5.32911255346491e-07,-5.411255411255403e-07,8.214285716900971e-09
iq,2000,45,2000-11-11,0,28.4160714285,32.665,74.8028571429,0.250512525,27.63571428550002,37.37,53.575,35.205,0.9350162426854148,-0.3546048870425354,0.0,0.1000002475,0.8999997525,0.8999998207575743,-7.575757575757558e-08,0.10000025499999986,5.228192640482909e-07,-5.140692640692633e-07,-8.75000000233328e-09
iq,2000,46,2000-11-18,0,29.244642857000013,19.625,67.1857142857,0.09886559,28.4160714285,32.665,37.37,53.575,0.8854560256532099,-0.4647231720437685,0.0,0.1000002475,0.8999997525,0.9000002145454532,-4.545454545454538e-07,0.10000023999999985,-1.0863636357161255e-07,1.1363636363636344e-07,-5.000000004307115e-09
iq,2000,47,2000-11-25,0,28.23214285700002,35.48563980911841,66.0428571429,0.232795825,29.244642857000013,19.625,32.665,37.37,0.8229838658936565,-0.5680647467311557,0.0,0.1000002475,0.8999997525,0.8999996034848472,1.515151515151513e-07,0.10000024499999985,-4.4777597402179126e-07,4.3831168831168763e-07,9.464285716243026e-09
iq,2000,48,2000-12-02,0,27.582142857,19.825,78.8857142857,0.287096425,28.23214285700002,35.48563980911841,19.625,32.665,0.7485107481711013,-0.663122658240795,0.0,0.1000002475,0.8999997525,0.8999993189935052,4.220779220779215e-07,0.10000025892857128,-2.3305735930012617e-07,2.1645021645021612e-07,1.6607142855340484e-08
iq,2000,49,2000-12-09,0,27.939285714500016,12.665,68.5571428571,0.1972660749999999,27.582142857,19.825,35.48563980911841,19.625,0.6631226582407952,-0.7485107481711012,0.0,0.1000002475,0.8999997525,0.8999991373701286,5.844155844155835e-07,0.10000027821428556,-1.2840367963340427e-07,1.0822510822510808e-07,2.0178571424889213e-08
iq,2000,50,2000-12-16,1,26.90476190485001,89.13,80.4085714286,0.3259143,27.939285714500016,12.665,19.825,35.48563980911841,0.5680647467311558,-0.8229838658936564,2.5e-06,0.10000033000000001,0.89999717,0.8999990621861459,6.385281385281377e-07,0.10000029928571413,-2.0178571480400365e-08,0.0,2.0178571438767e-08
iq,2000,51,2000-12-23,0,28.525000000000013,1.95,60.6414285714,0.24279525,26.90476190485001,89.13,12.665,19.825,0.464723172043769,-0.8854560256532096,0.0,0.10000033000000001,0.89999967,0.8999990970129856,5.844155844155835e-07,0.10000031857142844,9.161796538093014e-08,-1.0822510822510808e-07,1.6607142869218272e-08
